drugbank_id	name	cas	group
DB00239	Oxiconazole	64211-45-6	approved,
DB00240	Alclometasone	67452-97-5	approved,
DB00241	Butalbital	77-26-9	approved,illicit,
DB00242	Cladribine	4291-63-8	approved,investigational,
DB00243	Ranolazine	95635-55-5	approved,investigational,
DB00244	Mesalazine	89-57-6	approved,
DB00245	Benzatropine	86-13-5	approved,
DB00246	Ziprasidone	146939-27-7	approved,
DB00247	Methysergide	361-37-5	approved,
DB00248	Cabergoline	81409-90-7	approved,
DB00249	Idoxuridine	54-42-2	approved,investigational,
DB00250	Dapsone	80-08-0	approved,investigational,
DB00251	Terconazole	67915-31-5	approved,
DB00252	Phenytoin	57-41-0	approved,vet_approved,
DB00253	Medrysone	2668-66-8	approved,
DB00254	Doxycycline	564-25-0	approved,investigational,vet_approved,
DB00255	Diethylstilbestrol	56-53-1	approved,investigational,
DB00256	Lymecycline	992-21-2	approved,investigational,
DB00257	Clotrimazole	23593-75-1	approved,vet_approved,
DB00258	Calcium Acetate	62-54-4	approved,investigational,
DB00259	Sulfanilamide	63-74-1	approved,
DB00260	Cycloserine	68-41-7	approved,
DB00261	Anagrelide	68475-42-3	approved,
DB00262	Carmustine	154-93-8	approved,investigational,
DB00263	Sulfisoxazole	127-69-5	approved,vet_approved,
DB00264	Metoprolol	51384-51-1	approved,investigational,
DB00265	Crotamiton	483-63-6	approved,
DB00266	Dicoumarol	66-76-2	approved,
DB00267	Cefmenoxime	65085-01-0	approved,
DB00268	Ropinirole	91374-21-9	approved,investigational,
DB00269	Chlorotrianisene	569-57-3	investigational,withdrawn,
DB00270	Isradipine	75695-93-1	approved,investigational,
DB00271	Diatrizoate	117-96-4	approved,vet_approved,
DB00272	Betazole	105-20-4	approved,
DB00273	Topiramate	97240-79-4	approved,
DB00274	Cefmetazole	56796-20-4	approved,investigational,
DB00275	Olmesartan	144689-24-7	approved,investigational,
DB00276	Amsacrine	51264-14-3	approved,investigational,
DB00277	Theophylline	58-55-9	approved,
DB00278	Argatroban	74863-84-6	approved,investigational,
DB00279	Liothyronine	6893-02-3	approved,vet_approved,
DB00280	Disopyramide	3737-09-5	approved,
DB00281	Lidocaine	137-58-6	approved,vet_approved,
DB00282	Pamidronate	40391-99-9	approved,
DB00283	Clemastine	15686-51-8	approved,investigational,
DB00284	Acarbose	56180-94-0	approved,investigational,
DB00285	Venlafaxine	93413-69-5	approved,
DB00286	Conjugated estrogens	12126-59-9	approved,
DB00287	Travoprost	157283-68-6	approved,
DB00288	Amcinonide	51022-69-6	approved,
DB00289	Atomoxetine	83015-26-3	approved,
DB00290	Bleomycin	11056-06-7	approved,investigational,
DB00291	Chlorambucil	305-03-3	approved,
DB00292	Etomidate	33125-97-2	approved,
DB00293	Raltitrexed	112887-68-0	approved,investigational,
DB00294	Etonogestrel	54048-10-1	approved,investigational,
DB00295	Morphine	57-27-2	approved,investigational,
DB00296	Ropivacaine	84057-95-4	approved,
DB00297	Bupivacaine	38396-39-3	approved,investigational,
DB00298	Dapiprazole	72822-12-9	approved,
DB00299	Penciclovir	39809-25-1	approved,
DB00300	Tenofovir disoproxil	201341-05-1	approved,investigational,
DB00301	Flucloxacillin	5250-39-5	approved,investigational,
DB00302	Tranexamic Acid	1197-18-8	approved,
DB00303	Ertapenem	153832-46-3	approved,investigational,
DB00304	Desogestrel	54024-22-5	approved,
DB00305	Mitomycin	50-07-7	approved,
DB00306	Talbutal	115-44-6	approved,illicit,
DB00307	Bexarotene	153559-49-0	approved,investigational,
DB00308	Ibutilide	122647-31-8	approved,
DB00309	Vindesine	53643-48-4	approved,investigational,
DB00310	Chlorthalidone	77-36-1	approved,
DB00311	Ethoxzolamide	452-35-7	withdrawn,
DB00312	Pentobarbital	76-74-4	approved,investigational,vet_approved,
DB00313	Valproic Acid	99-66-1	approved,investigational,
DB00314	Capreomycin	11003-38-6	approved,
DB00315	Zolmitriptan	139264-17-8	approved,investigational,
DB00316	Acetaminophen	103-90-2	approved,
DB00317	Gefitinib	184475-35-2	approved,investigational,
DB00318	Codeine	76-57-3	approved,illicit,
DB00319	Piperacillin	66258-76-2	approved,
DB00320	Dihydroergotamine	511-12-6	approved,investigational,
DB00321	Amitriptyline	50-48-6	approved,
DB00322	Floxuridine	50-91-9	approved,
DB00323	Tolcapone	134308-13-7	approved,withdrawn,
DB00324	Fluorometholone	426-13-1	approved,investigational,
DB00325	Nitroprusside	15078-28-1	approved,investigational,
DB00326	Calcium Gluceptate	29039-00-7	approved,
DB00327	Hydromorphone	466-99-9	approved,illicit,
DB00328	Indomethacin	53-86-1	approved,investigational,
DB00330	Ethambutol	74-55-5	approved,
DB00331	Metformin	657-24-9	approved,
DB00332	Ipratropium	60205-81-4	approved,
DB00333	Methadone	76-99-3	approved,
DB00334	Olanzapine	132539-06-1	approved,investigational,
DB00335	Atenolol	29122-68-7	approved,
DB00336	Nitrofural	59-87-0	approved,investigational,vet_approved,
DB00337	Pimecrolimus	137071-32-0	approved,investigational,
DB00338	Omeprazole	73590-58-6	approved,investigational,vet_approved,
DB00339	Pyrazinamide	98-96-4	approved,investigational,
DB00340	Metixene	4969-02-2	approved,
DB00341	Cetirizine	83881-51-0	approved,
DB00342	Terfenadine	50679-08-8	approved,withdrawn,
DB00343	Diltiazem	42399-41-7	approved,investigational,
DB00344	Protriptyline	438-60-8	approved,
DB00345	Aminohippuric acid	61-78-9	approved,investigational,
DB00346	Alfuzosin	81403-80-7	approved,investigational,
DB00347	Trimethadione	127-48-0	approved,
DB00348	Nitisinone	104206-65-7	approved,investigational,
DB00349	Clobazam	22316-47-8	approved,illicit,
DB00350	Minoxidil	38304-91-5	approved,investigational,
DB00351	Megestrol acetate	595-33-5	approved,investigational,vet_approved,
DB00352	Tioguanine	154-42-7	approved,
DB00353	Methylergometrine	113-42-8	approved,
DB00354	Buclizine	82-95-1	approved,
DB00355	Aztreonam	78110-38-0	approved,
DB00356	Chlorzoxazone	95-25-0	approved,
DB00357	Aminoglutethimide	125-84-8	approved,investigational,
DB00358	Mefloquine	53230-10-7	approved,investigational,
DB00359	Sulfadiazine	68-35-9	approved,investigational,vet_approved,
DB00360	Sapropterin	62989-33-7	approved,investigational,
DB00361	Vinorelbine	71486-22-1	approved,investigational,
DB00362	Anidulafungin	166663-25-8	approved,investigational,
DB00363	Clozapine	5786-21-0	approved,
DB00364	Sucralfate	54182-58-0	approved,
DB00365	Grepafloxacin	119914-60-2	approved,investigational,withdrawn,
DB00366	Doxylamine	469-21-6	approved,vet_approved,
DB00367	Levonorgestrel	797-63-7	approved,investigational,
DB00368	Norepinephrine	51-41-2	approved,
DB00369	Cidofovir	113852-37-2	approved,
DB00370	Mirtazapine	85650-52-8	approved,
DB00371	Meprobamate	57-53-4	approved,illicit,
DB00372	Thiethylperazine	1420-55-9	withdrawn,
DB00373	Timolol	26839-75-8	approved,
DB00374	Treprostinil	81846-19-7	approved,investigational,
DB00375	Colestipol	26658-42-4	approved,
DB00376	Trihexyphenidyl	144-11-6	approved,
DB00377	Palonosetron	135729-56-5	approved,investigational,
DB00378	Dydrogesterone	152-62-5	approved,investigational,withdrawn,
DB00379	Mexiletine	31828-71-4	approved,investigational,
DB00380	Dexrazoxane	24584-09-6	approved,withdrawn,
DB00381	Amlodipine	88150-42-9	approved,
DB00382	Tacrine	321-64-2	investigational,withdrawn,
DB00383	Oxyphencyclimine	125-53-1	approved,
DB00384	Triamterene	396-01-0	approved,
DB00385	Valrubicin	56124-62-0	approved,
DB00387	Procyclidine	77-37-2	approved,
DB00388	Phenylephrine	59-42-7	approved,
DB00389	Carbimazole	22232-54-8	approved,investigational,
DB00390	Digoxin	20830-75-5	approved,
DB00391	Sulpiride	15676-16-1	approved,investigational,
DB00392	Ethopropazine	522-00-9	approved,
DB00393	Nimodipine	66085-59-4	approved,investigational,
DB00394	Beclomethasone dipropionate	5534-09-8	approved,investigational,
DB00395	Carisoprodol	78-44-4	approved,
DB00396	Progesterone	57-83-0	approved,vet_approved,
DB00397	Phenylpropanolamine	14838-15-4	approved,vet_approved,withdrawn,
DB00398	Sorafenib	284461-73-0	approved,investigational,
DB00399	Zoledronic acid	118072-93-8	approved,
DB00400	Griseofulvin	126-07-8	approved,investigational,vet_approved,
DB00401	Nisoldipine	63675-72-9	approved,
DB00402	Eszopiclone	138729-47-2	approved,investigational,
DB00403	Ceruletide	17650-98-5	approved,
DB00404	Alprazolam	28981-97-7	approved,illicit,investigational,
DB00405	Dexbrompheniramine	132-21-8	approved,
DB00406	Gentian Violet	7438-46-2	approved,
DB00407	Ardeparin	9005-49-6	approved,investigational,withdrawn,
DB00408	Loxapine	1977-10-2	approved,
DB00409	Remoxipride	80125-14-0	approved,withdrawn,
DB00410	Mupirocin	12650-69-0	approved,investigational,vet_approved,
DB00411	Carbachol	51-83-2	approved,
DB00412	Rosiglitazone	122320-73-4	approved,investigational,
DB00413	Pramipexole	104632-26-0	approved,investigational,
DB00414	Acetohexamide	968-81-0	approved,investigational,withdrawn,
DB00415	Ampicillin	69-53-4	approved,vet_approved,
DB00416	Metocurine Iodide	7601-55-0	approved,withdrawn,
DB00417	Phenoxymethylpenicillin	87-08-1	approved,vet_approved,
DB00418	Secobarbital	76-73-3	approved,vet_approved,
DB00419	Miglustat	72599-27-0	approved,
DB00420	Promazine	58-40-2	approved,vet_approved,
DB00421	Spironolactone	52-01-7	approved,
DB00422	Methylphenidate	113-45-1	approved,investigational,
DB00423	Methocarbamol	532-03-6	approved,vet_approved,
DB00424	Hyoscyamine	101-31-5	approved,
DB00425	Zolpidem	82626-48-0	approved,
DB00426	Famciclovir	104227-87-4	approved,investigational,
DB00427	Triprolidine	486-12-4	approved,
DB00428	Streptozocin	18883-66-4	approved,investigational,
DB00429	Carboprost Tromethamine	58551-69-2	approved,
DB00430	Cefpiramide	70797-11-4	approved,
DB00431	Lindane	58-89-9	approved,withdrawn,
DB00432	Trifluridine	70-00-8	approved,investigational,
DB00433	Prochlorperazine	58-38-8	approved,vet_approved,
DB00434	Cyproheptadine	129-03-3	approved,
DB00435	Nitric Oxide	10102-43-9	approved,
DB00436	Bendroflumethiazide	73-48-3	approved,
DB00437	Allopurinol	315-30-0	approved,
DB00438	Ceftazidime	72558-82-8	approved,
DB00439	Cerivastatin	145599-86-6	approved,withdrawn,
DB00440	Trimethoprim	738-70-5	approved,vet_approved,
DB00441	Gemcitabine	95058-81-4	approved,
DB00442	Entecavir	142217-69-4	approved,investigational,
DB00443	Betamethasone	378-44-9	approved,vet_approved,
DB00444	Teniposide	29767-20-2	approved,
DB00445	Epirubicin	56420-45-2	approved,
DB00446	Chloramphenicol	56-75-7	approved,vet_approved,
DB00447	Loracarbef	76470-66-1	investigational,withdrawn,
DB00448	Lansoprazole	103577-45-3	approved,investigational,
DB00449	Dipivefrin	52365-63-6	approved,
DB00450	Droperidol	548-73-2	approved,vet_approved,
DB00451	Levothyroxine	51-48-9	approved,
DB00452	Framycetin	119-04-0	approved,
DB00453	Clomocycline	1181-54-0	approved,
DB00454	Pethidine	57-42-1	approved,
DB00455	Loratadine	79794-75-5	approved,investigational,
DB00456	Cefalotin	153-61-7	approved,investigational,vet_approved,
DB00457	Prazosin	19216-56-9	approved,
DB00458	Imipramine	50-49-7	approved,
DB00459	Acitretin	55079-83-9	approved,
DB00460	Verteporfin	129497-78-5	approved,investigational,
DB00461	Nabumetone	42924-53-8	approved,
DB00462	Methylscopolamine bromide	155-41-9	approved,
DB00463	Metharbital	50-11-3	withdrawn,
DB00464	Sodium Tetradecyl Sulfate	139-88-8	approved,investigational,
DB00465	Ketorolac	74103-06-3	approved,
DB00466	Picrotoxin	124-87-8	experimental,
DB00467	Enoxacin	74011-58-8	approved,investigational,
DB00468	Quinine	130-95-0	approved,
DB00469	Tenoxicam	59804-37-4	approved,
DB00470	Dronabinol	1972-08-3	approved,illicit,
DB00471	Montelukast	158966-92-8	approved,
DB00472	Fluoxetine	54910-89-3	approved,vet_approved,
DB00473	Hexylcaine	532-77-4	approved,withdrawn,
DB00474	Methohexital	151-83-7	approved,
DB00475	Chlordiazepoxide	58-25-3	approved,illicit,investigational,
DB00476	Duloxetine	116539-59-4	approved,
DB00477	Chlorpromazine	50-53-3	approved,investigational,vet_approved,
DB00478	Rimantadine	13392-28-4	approved,investigational,
DB00479	Amikacin	37517-28-5	approved,investigational,vet_approved,
DB00480	Lenalidomide	191732-72-6	approved,
DB00481	Raloxifene	84449-90-1	approved,investigational,
DB00482	Celecoxib	169590-42-5	approved,investigational,
DB00483	Gallamine Triethiodide	65-29-2	approved,
DB00484	Brimonidine	59803-98-4	approved,
DB00485	Dicloxacillin	3116-76-5	approved,investigational,vet_approved,
DB00486	Nabilone	51022-71-0	approved,investigational,
DB00487	Pefloxacin	70458-92-3	approved,
DB00488	Altretamine	645-05-6	approved,
DB00489	Sotalol	3930-20-9	approved,
DB00490	Buspirone	36505-84-7	approved,investigational,
DB00491	Miglitol	72432-03-2	approved,
DB00492	Fosinopril	98048-97-6	approved,
DB00493	Cefotaxime	63527-52-6	approved,
DB00494	Entacapone	130929-57-6	approved,investigational,
DB00495	Zidovudine	30516-87-1	approved,
DB00496	Darifenacin	133099-04-4	approved,investigational,
DB00497	Oxycodone	76-42-6	approved,illicit,investigational,
DB00498	Phenindione	83-12-5	approved,investigational,
DB00499	Flutamide	13311-84-7	approved,investigational,
DB00500	Tolmetin	26171-23-3	approved,
DB00501	Cimetidine	51481-61-9	approved,investigational,
DB00502	Haloperidol	52-86-8	approved,
DB00503	Ritonavir	155213-67-5	approved,investigational,
DB00504	Levallorphan	152-02-3	approved,
DB00505	Tridihexethyl	60-49-1	withdrawn,
DB00507	Nitazoxanide	55981-09-4	approved,investigational,vet_approved,
DB00508	Triflupromazine	146-54-3	approved,vet_approved,
DB00509	Dextrothyroxine	51-49-0	approved,investigational,
DB00511	Acetyldigitoxin	1111-39-3	approved,
DB00512	Vancomycin	1404-90-6	approved,
DB00513	Aminocaproic Acid	60-32-2	approved,investigational,
DB00514	Dextromethorphan	125-71-3	approved,
DB00515	Cisplatin	15663-27-1	approved,
DB00516	Bentoquatam	1340-69-8	approved,
DB00517	Anisotropine Methylbromide	80-50-2	approved,
DB00518	Albendazole	54965-21-8	approved,vet_approved,
DB00519	Trandolapril	87679-37-6	approved,
DB00520	Caspofungin	162808-62-0	approved,
DB00521	Carteolol	51781-06-7	approved,
DB00522	Bentiromide	37106-97-1	investigational,withdrawn,
DB00523	Alitretinoin	5300-03-8	approved,investigational,
DB00524	Metolazone	17560-51-9	approved,
DB00525	Tolnaftate	2398-96-1	approved,investigational,vet_approved,
DB00526	Oxaliplatin	61825-94-3	approved,investigational,
DB00527	Cinchocaine	85-79-0	approved,vet_approved,
DB00528	Lercanidipine	100427-26-7	approved,investigational,
DB00529	Foscarnet	4428-95-9	approved,
DB00530	Erlotinib	183321-74-6	approved,investigational,
DB00531	Cyclophosphamide	50-18-0	approved,investigational,
DB00532	Mephenytoin	50-12-4	investigational,withdrawn,
DB00533	Rofecoxib	162011-90-7	approved,investigational,withdrawn,
DB00534	Chlormerodrin	62-37-3	approved,withdrawn,
DB00535	Cefdinir	91832-40-5	approved,
DB00536	Guanidine	113-00-8	approved,
DB00537	Ciprofloxacin	85721-33-1	approved,investigational,
DB00538	Gadoversetamide	131069-91-5	approved,investigational,
DB00539	Toremifene	89778-26-7	approved,investigational,
DB00540	Nortriptyline	72-69-5	approved,
DB00541	Vincristine	57-22-7	approved,investigational,
DB00542	Benazepril	86541-75-5	approved,investigational,
DB00543	Amoxapine	14028-44-5	approved,
DB00544	Fluorouracil	51-21-8	approved,
DB00545	Pyridostigmine	155-97-5	approved,investigational,
DB00546	Adinazolam	37115-32-5	approved,
DB00547	Desoximetasone	382-67-2	approved,
DB00548	Azelaic Acid	123-99-9	approved,
DB00549	Zafirlukast	107753-78-6	approved,investigational,
DB00550	Propylthiouracil	51-52-5	approved,investigational,
DB00551	Acetohydroxamic Acid	546-88-3	approved,
DB00552	Pentostatin	53910-25-1	approved,investigational,
DB00553	Methoxsalen	298-81-7	approved,
DB00554	Piroxicam	36322-90-4	approved,investigational,
DB00555	Lamotrigine	84057-84-1	approved,investigational,
DB00556	Perflutren	76-19-7	approved,
DB00557	Hydroxyzine	68-88-2	approved,
DB00558	Zanamivir	139110-80-8	approved,investigational,
DB00559	Bosentan	147536-97-8	approved,investigational,
DB00560	Tigecycline	220620-09-7	approved,
DB00561	Doxapram	309-29-5	approved,vet_approved,
DB00562	Benzthiazide	91-33-8	approved,
DB00563	Methotrexate	59-05-2	approved,
DB00564	Carbamazepine	298-46-4	approved,investigational,
DB00565	Cisatracurium	96946-41-7	approved,
DB00566	Succimer	304-55-2	approved,
DB00567	Cephalexin	15686-71-2	approved,investigational,vet_approved,
DB00568	Cinnarizine	298-57-7	approved,investigational,
DB00569	Fondaparinux	104993-28-4	approved,investigational,
DB00570	Vinblastine	865-21-4	approved,
DB00571	Propranolol	525-66-6	approved,investigational,
DB00572	Atropine	51-55-8	approved,vet_approved,
DB00573	Fenoprofen	29679-58-1	approved,
DB00574	Fenfluramine	458-24-2	approved,illicit,investigational,withdrawn,
DB00575	Clonidine	4205-90-7	approved,
DB00576	Sulfamethizole	144-82-1	approved,investigational,vet_approved,
DB00577	Valaciclovir	124832-26-4	approved,investigational,
DB00578	Carbenicillin	4697-36-3	approved,investigational,
DB00579	Mazindol	22232-71-9	approved,investigational,
DB00580	Valdecoxib	181695-72-7	approved,investigational,withdrawn,
DB00581	Lactulose	4618-18-2	approved,
DB00582	Voriconazole	137234-62-9	approved,investigational,
DB00583	L-Carnitine	541-15-1	approved,investigational,
DB00584	Enalapril	75847-73-3	approved,vet_approved,
DB00585	Nizatidine	76963-41-2	approved,
DB00586	Diclofenac	15307-86-5	approved,vet_approved,
DB00587	Cinalukast	128312-51-6	approved,
DB00588	Fluticasone propionate	80474-14-2	approved,
DB00589	Lisuride	18016-80-3	approved,investigational,
DB00590	Doxazosin	74191-85-8	approved,
DB00591	Fluocinolone Acetonide	67-73-2	approved,investigational,vet_approved,
DB00592	Piperazine	110-85-0	approved,vet_approved,
DB00593	Ethosuximide	77-67-8	approved,
DB00594	Amiloride	2609-46-3	approved,
DB00595	Oxytetracycline	79-57-2	approved,investigational,vet_approved,
DB00596	Ulobetasol	98651-66-2	approved,
DB00597	Gadoteridol	120066-54-8	approved,investigational,
DB00598	Labetalol	36894-69-6	approved,
DB00599	Thiopental	76-75-5	approved,vet_approved,
DB00600	Monobenzone	103-16-2	approved,
DB00601	Linezolid	165800-03-3	approved,investigational,
DB00602	Ivermectin	70288-86-7	approved,investigational,vet_approved,
DB00603	Medroxyprogesterone acetate	71-58-9	approved,investigational,
DB00604	Cisapride	81098-60-4	approved,investigational,withdrawn,
DB00605	Sulindac	38194-50-2	approved,investigational,
DB00606	Cyclothiazide	2259-96-3	approved,
DB00607	Nafcillin	147-52-4	approved,investigational,
DB00608	Chloroquine	54-05-7	approved,investigational,vet_approved,
DB00609	Ethionamide	536-33-4	approved,
DB00610	Metaraminol	54-49-9	approved,investigational,
DB00611	Butorphanol	42408-82-2	approved,illicit,vet_approved,
DB00612	Bisoprolol	66722-44-9	approved,
DB00613	Amodiaquine	86-42-0	approved,investigational,
DB00614	Furazolidone	67-45-8	approved,investigational,vet_approved,
DB00615	Rifabutin	72559-06-9	approved,investigational,
DB00616	Candoxatril	123122-55-4	experimental,
DB00617	Paramethadione	115-67-3	approved,
DB00618	Demeclocycline	127-33-3	approved,
DB00619	Imatinib	152459-95-5	approved,
DB00620	Triamcinolone	124-94-7	approved,vet_approved,
DB00621	Oxandrolone	53-39-4	approved,investigational,
DB00622	Nicardipine	55985-32-5	approved,investigational,
DB00623	Fluphenazine	69-23-8	approved,
DB00624	Testosterone	58-22-0	approved,investigational,
DB00625	Efavirenz	154598-52-4	approved,investigational,
DB00626	Bacitracin	1405-87-4	approved,vet_approved,
DB00627	Niacin	59-67-6	approved,investigational,nutraceutical,
DB00628	Clorazepate	23887-31-2	approved,illicit,
DB00629	Guanabenz	5051-62-7	approved,investigational,
DB00630	Alendronic acid	66376-36-1	approved,
DB00631	Clofarabine	123318-82-1	approved,investigational,
DB00632	Docosanol	661-19-8	approved,investigational,
